Date,Stocks_Added,Stocks_Removed,Total_Holdings,Cash_Deployed
2026-02-11,"SAFEENTP.NS, NAM-INDIA.NS, SOLARINDS.NS, FIEMIND.NS, JSL.NS, CUMMINSIND.NS, TEGA.NS, KINGFA.NS, 522195.NS, 506854.NS, GPIL.NS, GVT&D.NS, GALLANTT.NS, WAAREEINDO.NS, POLYCAB.NS, PRUDENT.NS, 544310.NS, STYLAMIND.NS, 523606.NS, ABSLAMC.NS, FORCEMOT.NS, POKARNA.NS, 544037.NS, GUJTHEM.NS, EMCURE.NS, NAVA.NS, VISHNU.NS, HINDCOPPER.NS, ALPEXSOLAR.NS, AIIL.NS, ANTELOPUS.NS, NATIONALUM.NS, HDFCAMC.NS, 513119.NS, IMFA.NS, BANCOINDIA.NS, TAC.NS, HBLENGINE.NS, ECLERX.NS, FOSECOIND.NS, HAPPYFORGE.NS, ZFCVINDIA.NS, 539997.NS, BEL.NS, RPEL.NS, WAAREEENER.NS, SHREEJISPG.NS, QPOWER.NS",,48,480000
2026-02-12,"SHARDAMOTR.NS, BORANA.NS","544037.NS, TAC.NS, TEGA.NS",50,20000
2026-02-12,,"TAC.NS, 544037.NS, TEGA.NS",47,0
2026-02-16,"TRANSRAILL.NS, ENGINERSIN.NS, 524717.NS","FOSECOIND.NS, SHARDAMOTR.NS, NAVA.NS",47,30000
2026-02-16,NAVA.NS,,48,10000
2026-02-17,"GANDHITUBE.NS, JSLL.NS, 524632.NS, MAMATA.NS, SHARDAMOTR.NS","NAVA.NS, 524717.NS, JSL.NS",50,50000
2026-02-18,,SRM.NS,55,0
2026-02-19,"544037.NS, WEALTH.NS, SRM.NS","MAMATA.NS, SHARDAMOTR.NS, NAVA.NS, ZFCVINDIA.NS",54,30000
2026-02-20,"NAVA.NS, SHARDAMOTR.NS, VESUVIUS.NS","SRM.NS, POKARNA.NS, WEALTH.NS",54,30000
2026-02-21,,VESUVIUS.NS,53,0
2026-02-22,,,53,0
2026-02-23,"MAMATA.NS, KRN.NS",GODFRYPHLP.NS,54,20000
2026-02-24,"ZFCVINDIA.NS, VHLTD.NS, TORNTPHARM.NS",TRANSRAILL.NS,56,30000
2026-02-25,"506414.NS, FOSECOIND.NS, SCHAEFFLER.NS, TIMKEN.NS, TEGA.NS","ZFCVINDIA.NS, VHLTD.NS, WAAREEENER.NS",58,50000
2026-02-26,"MACPOWER.NS, VHLTD.NS, WAAREEENER.NS","ALPEXSOLAR.NS, 506414.NS, FOSECOIND.NS, GUJTHEM.NS, ANTELOPUS.NS",56,30000
2026-02-27,"ALPEXSOLAR.NS, TRANSRAILL.NS","PRUDENT.NS, VISHNU.NS, 524717.NS, VHLTD.NS, SHARDAMOTR.NS, GANDHITUBE.NS, ECLERX.NS, MACPOWER.NS, WAAREEENER.NS",49,20000
